Team,Rating
ARI,-2.213252699603242
ATL,0.6930479081090002
BAL,3.9670847131398173
BUF,2.4670847131398173
CAR,-5.328779316999562
CHI,0.1646716780758397
CIN,2.7706093678602928
CLE,1.0495472282658072
DAL,2.0397595435528126
DEN,-4.26113148921471
DET,2.9831669367950053
GB,1.1768252161502535
HOU,2.061094161153042
IND,-0.3186173558555092
JAX,0.06109416115304206
KC,4.820381642777067
LAC,0.32038164277706727
LAR,0.16467167807583993
LV,-2.950452771734193
MIA,1.9376152437897083
MIN,-2.3231747838497467
NE,-4.4756382523360045
NO,-1.806952091891
NYG,-3.4602404564471874
NYJ,1.7388685107852897
PHI,2.248345380824485
PIT,0.6813826441444908
SEA,-1.5168330632049947
SF,5.33673198555654
TB,-1.7516546191755151
TEN,-3.0623847562102915
WAS,-3.213252699603242
