iteration,mean,max
1,0.7321428571428571,2.09375
2,0.6901506696428571,1.61328125
3,0.6851893833705357,1.6383056640625
4,0.6719316755022321,1.645919799804687
5,0.6771107741764613,1.6483612060546875
6,0.6767310734306063,1.6427399516105652
7,0.6765759349135415,1.6416170559823513
8,0.6765223805559799,1.6414121022680774
9,0.6765099091654909,1.6414388332923409
10,0.6765144864631826,1.6414992283694119
11,0.6765238945387365,1.641547107326204
12,0.6765331043508783,1.6415783161093103
13,0.6765405267185721,1.6415972123669396
14,0.6765459950053665,1.6416082759860213
15,0.676549824590772,1.6416146472307576
16,0.6765524221833644,1.6416182859470005
17,0.6765541463651447,1.6416203561867544
18,0.6765552732847755,1.6416215327779113
19,0.6765560014898122,1.6416222019902476
20,0.6765564680023305,1.6416225834327163
21,0.6765567648783983,1.6416228015475975
22,0.676556952817445,1.6416229267755633
23,0.676557071302084,1.6416229990130384
24,0.6765571457536677,1.6416230408997001
25,0.6765571924127556,1.6416230653211736
